"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.04.2023","0,078036","0,078744","0,079000","0,077813","803,75M","-0,91%"
"24.04.2023","0,078750","0,078778","0,080006","0,077237","1,05B","-0,04%"
"23.04.2023","0,078778","0,080270","0,080729","0,076911","995,77M","-1,86%"
"22.04.2023","0,080270","0,078427","0,080936","0,078187","1,04B","2,35%"
"21.04.2023","0,078427","0,083894","0,084663","0,077244","2,78B","-6,52%"
"20.04.2023","0,083894","0,087892","0,093238","0,082759","5,81B","-4,55%"
"19.04.2023","0,087892","0,093951","0,094129","0,085836","3,69B","-6,45%"
"18.04.2023","0,093953","0,091394","0,094664","0,089817","2,23B","2,80%"
"17.04.2023","0,091392","0,090470","0,094702","0,088289","3,73B","1,02%"
"16.04.2023","0,090465","0,088894","0,091754","0,087765","1,53B","1,77%"
"15.04.2023","0,088890","0,088684","0,090512","0,087233","1,13B","0,21%"
"14.04.2023","0,088707","0,087344","0,091169","0,085505","2,90B","1,56%"
"13.04.2023","0,087344","0,083406","0,088790","0,082866","2,35B","4,73%"
"12.04.2023","0,083398","0,084133","0,084487","0,081099","2,19B","-0,87%"
"11.04.2023","0,084130","0,084794","0,085791","0,083623","1,29B","-0,79%"
"10.04.2023","0,084797","0,083194","0,085402","0,082332","1,24B","1,92%"
"09.04.2023","0,083197","0,081359","0,083846","0,081194","1,14B","2,26%"
"08.04.2023","0,081359","0,082232","0,083827","0,080629","1,49B","-1,07%"
"07.04.2023","0,082243","0,085415","0,086143","0,081623","2,81B","-3,71%"
"06.04.2023","0,085410","0,092717","0,092717","0,084748","4,19B","-7,88%"
"05.04.2023","0,092715","0,095163","0,099134","0,091265","4,23B","-2,57%"
"04.04.2023","0,095163","0,096040","0,103232","0,092330","8,93B","-0,91%"
"03.04.2023","0,096040","0,079022","0,104060","0,076252","10,60B","21,53%"
"02.04.2023","0,079023","0,081822","0,085483","0,077413","2,65B","-3,42%"